date, T2_D_50, T5_D_50, T9_D_100, T14_D_100, T4_E_50, T7_E_100, T12_E_50, T15_E_100
27/07/2024,5.733666667,10.9245,,,2.647166667,3.019333333,,
28/07/2024,5.616833333,11.13316667,,,2.611333333,2.9975,,
29/07/2024,5.564333333,11.2105,,,2.597666667,2.972,,
30/07/2024,5.377833333,11.22216667,3.8875,4.282,2.567,2.922833333,4.476833333,3.693
31/07/2024,5.324833333,11.30816667,3.893,4.275666667,2.554333333,2.933333333,4.450333333,3.668833333
01/08/2024,5.222,11.31975,3.83,4.273,2.55675,2.95675,4.53,4.2065
02/08/2024,5.001166667,11.295,3.848333333,4.125166667,2.602833333,2.931833333,4.4115,3.7505
03/08/2024,5.009833333,11.36783333,3.852,4.070166667,2.656,2.941,4.465833333,3.796666667
04/08/2024,4.928333333,11.4885,3.837333333,4.090666667,2.620666667,2.942,4.522666667,3.8315
05/08/2024,4.7988,11.4566,3.8196,4.6294,2.6716,3.0084,4.7206,4.1504
06/08/2024,4.8,11.44625,3.949,4.256,2.639,2.97425,4.66825,3.486
07/08/2024,4.872,11.3995,3.765,4.083,2.607,3.0325,4.839,4.1325
08/08/2024,4.628,11.39966667,3.975666667,4.077666667,2.639333333,2.946666667,4.665333333,3.553333333
21/08/2024,4.620666667,9.877333333,1.754666667,4.445666667,2.715666667,3.183,3.801666667,4.136333333
22/08/2024,6.016,9.802666667,4.454833333,4.4115,2.757,3.201,4.7495,4.348
23/08/2024,6.124166667,9.845666667,3.958333333,4.278166667,2.767166667,3.3115,4.655833333,4.516166667
24/08/2024,6.262,10.10716667,4.477166667,4.257666667,2.864333333,3.194666667,4.598166667,4.0485
25/08/2024,6.141,10.1165,4.540333333,4.146666667,2.954666667,3.198333333,4.757833333,4.082
26/08/2024,6.034833333,10.163,4.5645,4.080166667,2.883166667,3.218333333,4.781166667,4.053666667
27/08/2024,6.096,10.267,4.700166667,4.026,2.704166667,3.254166667,4.853833333,4.122333333
28/08/2024,6.033166667,10.20266667,4.665666667,3.9855,2.6005,3.226666667,4.9505,4.114333333
29/08/2024,5.8325,10.18266667,4.780833333,3.976166667,2.443333333,3.267,4.9225,4.091333333
30/08/2024,5.752833333,10.307,4.777333333,3.936833333,2.420333333,3.215666667,4.9415,4.0045
