date,tree,tensiometer_40,tensiometer_80,frond,dendrometer,tdr_water_40,tdr_water_80,tdr_salt_40,tdr_salt_80,sap_flow,eto (mm/day),vpd (kPa),frond_growth_rate,irrigation,irrigation calc (kc=1),adjusted_irrigation
2024-09-05, T9_D_100,0.035441483481353155,0.056724812734007916,24.59946667,0.05555567375886525,0.346459915517909,0.2033175938605857,0.28392802681399115,0.11400188643448579,0.0,0.43101563429445766,0.3638896946415335,3.237504170000001,330.4,0.7639552274456404,0.6111641819565123
2024-09-05, T7_E_100,0.04412378729631345,0.0585780565546182,27.16192083,0.06382978723404255,0.41814833351230224,0.35615851188808917,0.2292795645717503,0.08103714703638146,0.0,0.43101563429445766,0.3638896946415335,3.223954159999998,330.4,0.7639552274456404,0.6111641819565123
2024-09-05, T5_D_50,0.09222645216781132,0.6558409579702275,27.84569583,0.24704503546099293,0.22697921871507284,0.1880965772127336,0.6503389870504609,0.24938891013270273,0.0,0.43101563429445766,0.3638896946415335,3.1460833299999997,175.9,0.40671829451479463,0.3253746356118357
2024-09-05, T4_E_50,0.1760407712469197,0.42747725566169775,18.244125,0.1773049645390071,0.2201809831454818,0.19061958101844775,0.15729467239073824,0.06686066345566954,0.0,0.43101563429445766,0.3638896946415335,1.1845416700000015,175.9,0.40671829451479463,0.3253746356118357
2024-09-05, T2_D_50,0.14734127474798608,0.8152588061819137,21.00460833,0.2434989361702128,0.26222090864533465,0.23541949816916244,0.37117320008445354,0.13581649240114663,0.0,0.43101563429445766,0.3638896946415335,2.619787500000001,175.9,0.40671829451479463,0.3253746356118357
2024-09-05, T14_D_100,0.09978509148570168,0.11030040694063088,27.1399125,0.22340425531914893,0.33118093775316676,0.3279739029914221,0.33865859666408615,0.09474402456443083,0.0,0.43101563429445766,0.3638896946415335,3.3677916700000026,330.4,0.7639552274456404,0.6111641819565123
2024-09-05, T12_E_50,0.18646690412137182,0.21549467351143803,23.48749167,0.13120567375886524,0.129939520722473,0.222887472476116,0.1272198372158491,0.12076100261929712,0.0,0.43101563429445766,0.3638896946415335,2.9870208399999996,175.9,0.40671829451479463,0.3253746356118357
2024-09-05, T15_E_100,0.08250030701284537,0.09481350924008453,21.78487917,0.18321524822695034,0.7225228502367349,0.40955656055722717,0.229103619748047,0.10463786147788333,0.0,0.43101563429445766,0.3638896946415335,3.462675000000001,330.4,0.7639552274456404,0.6111641819565123
2024-09-06, T12_E_50,0.18495026398388995,0.2111661180876044,26.4121625,0.12056737588652482,0.12882542858651816,0.21908636792515754,0.12165998078682524,0.11313893514915903,0.0,0.4344458194492692,0.42211817762515774,2.92467083,175.7,0.40458787623176035,0.3236703009854083
2024-09-06, T14_D_100,0.10018420729460163,0.1116093413861376,30.80082917,0.23404255319148937,0.33284070751364403,0.3315426255017829,0.33166772235906816,0.09553071502975932,0.0,0.4344458194492692,0.42211817762515774,3.660916669999999,332.0,0.7645029875295642,0.6116023900236515
2024-09-06, T15_E_100,0.08269679478589427,0.09250667427770172,25.28666667,0.16489361702127658,0.7225455868835466,0.4133078689793929,0.22829427355901188,0.10046358546224379,0.0,0.4344458194492692,0.42211817762515774,3.501787499999999,332.0,0.7645029875295642,0.6116023900236515
2024-09-06, T2_D_50,0.14553604326089015,0.8121160674865707,23.58737917,0.22340425531914893,0.26526760949590417,0.23420779247477186,0.3723344359208952,0.1380039735785985,0.0,0.4344458194492692,0.42211817762515774,2.5827708399999985,175.7,0.40458787623176035,0.3236703009854083
2024-09-06, T4_E_50,0.22386098492550222,0.40591223665144655,21.3025125,0.1453900709219858,0.21856668646035685,0.1922628532686068,0.1473713843338729,0.06950169579405555,0.0,0.4344458194492692,0.42211817762515774,3.0583874999999985,175.7,0.40458787623176035,0.3236703009854083
2024-09-06, T5_D_50,0.08997912317367146,0.6560742334167005,31.10885833,0.20390070921985815,0.2287526714913376,0.18812977457881286,0.6883899875431064,0.25012743573018703,0.0,0.4344458194492692,0.42211817762515774,3.2631625,175.7,0.40458787623176035,0.3236703009854083
2024-09-06, T7_E_100,0.044608866513290574,0.05916772505260797,30.464025,0.05851063829787234,0.41753444601282597,0.35800096865341896,0.21736223520304032,0.08077625479292973,0.0,0.4344458194492692,0.42211817762515774,3.30210417,332.0,0.7645029875295642,0.6116023900236515
2024-09-06, T9_D_100,0.035404642022432826,0.05719136362695384,28.05219583,0.051418439716312055,0.3466190713907777,0.204180726812775,0.2832477068759237,0.11181039152206061,0.0,0.4344458194492692,0.42211817762515774,3.452729159999997,332.0,0.7645029875295642,0.6116023900236515
2024-09-07, T5_D_50,0.0914896229894048,0.6504885824898468,34.4232,0.1607563829787234,0.22918466647113347,0.1882625642024775,0.7101015785769582,0.24786770753995727,0.0,0.487192539329512,0.4377969885512491,3.314341670000001,175.8,0.38077786051152784,0.3046222884092223
2024-09-07, T7_E_100,0.044535183595449924,0.060048987846247584,33.7884875,0.05319148936170213,0.41885316716248316,0.3559759259762842,0.22163182961503272,0.0804110056328314,0.0,0.487192539329512,0.4377969885512491,3.3244625000000028,330.7,0.7162869082546203,0.5730295266036962
