date, T14_D_100, T15_E_100, T12_E_50, T7_E_100, T4_E_50, T9_D_100, T2_D_50, T5_D_50
14/07/2024,30.11875,33.13229167,9.767708333,27.15,14.00833333,19.678125,15.45833333,11.67395833
15/07/2024,14.3125,26.13333333,2.995833333,14.01875,8.757291667,16.975,13.025,11.08333333
16/07/2024,13.215625,25.88229167,2.358333333,13.128125,7.088541667,15.40208333,10.9875,10.603125
17/07/2024,12.43645833,25.68541667,2.148958333,12.61770833,5.705208333,13.94375,10.09270833,9.860416667
18/07/2024,11.60729167,25.48333333,2.063541667,12.1,4.716666667,13.00520833,9.452083333,8.955208333
19/07/2024,10.79479167,25.284375,1.96875,11.34479167,4.472916667,11.94895833,8.966666667,8.107291667
20/07/2024,9.716842105,20.99428571,1.902173913,10.37808219,4.415068493,11.05945946,8.631506849,7.642465753
21/07/2024,9.075,,1.85,,,,,
22/07/2024,13.54259259,,8.090740741,36.82592593,10.99444444,13.51851852,8.218518519,7.5
23/07/2024,24.22112676,,17.25070423,33.54788732,16.27183099,17.52676056,14.18873239,10.39295775
24/07/2024,13.54411765,,4.96,16.17714286,9.982857143,15.73142857,13.43428571,11.18857143
25/07/2024,15.11428571,,10.38571429,28.378125,13.56354167,16.82857143,14.709375,11.44791667
26/07/2024,,,,27.7875,13.4875,,14.765625,11.37916667
27/07/2024,,,,27.48020833,13.54375,,14.6375,11.37708333
28/07/2024,,,,28.62210526,13.50315789,,14.68842105,11.27894737
29/07/2024,17.85,,13.075,28.46041667,13.40208333,17.775,14.54270833,11.290625
30/07/2024,26.03854167,,11.125,28.065625,13.52604167,17.45104167,14.52708333,11.26041667
31/07/2024,25.91875,,10.9625,27.875,13.65208333,17.48541667,14.609375,11.22604167
01/08/2024,13.89272727,,5.376363636,19.71090909,9.96,16.51272727,13.37454545,11.08545455
02/08/2024,25.35208333,,11.00416667,27.84479167,13.46354167,17.48645833,14.49375,11.18125
03/08/2024,25.70833333,,10.91458333,27.565625,13.478125,17.55729167,14.58645833,11.20520833
04/08/2024,25.396875,,10.35520833,24.6375,13.34895833,17.39375,14.459375,11.18229167
05/08/2024,21.6925,,7.970731707,26.3195122,12.50853659,17.21097561,13.37926829,10.86097561
